key,English,Chinese,Japanese,Arabic
game_title,Piano Tiles Zero,钢琴块零,ピアノタイル・ゼロ,بلاط البيانو 0
artist_English Folk Music,English Folk Music,英式民谣音乐,イングリッシュフォークミュージック,الموسيقى الشعبية الإنجليزية
artist_James Lord Pierpont,James Lord Pierpont,詹姆斯·洛德·皮尔庞特,ジェームズ・ロード・ピアポント,جيمس لورد بيربونت
artist_Johann Pachelbel,Johann Pachelbel,约翰·帕赫贝尔,ヨハン・パッヘルベル,يوهان باخبل
artist_French Folk Music,French Folk Music,法国民谣音乐,フレンチフォークミュージック,الموسيقى الشعبية الفرنسية
artist_Polish Folk Music,Polish Folk Music,波兰民谣音乐,ポーランドフォークミュージック,الموسيقى الشعبية البولندية
artist_American Folk Music,American Folk Music,美国民谣音乐,アメリカンフォークミュージック,الموسيقذ الشعبية الأمريكية
artist_Schubert,Schubert,舒伯特,シューベルト,شوبرت
artist_Beethoven,Beethoven,贝多芬,ベートーヴェン,بيتهوفن
artist_Chopin,Chopin,肖邦,ショパン,تشوبين
artist_Francois Joseph Gossec,Francois Joseph Gossec,弗朗索瓦·约瑟夫·戈塞克,フランソワ・ジョゼフ・ゴセック,فرانسوا جوزيف غوسيك
artist_Carlos Gardel,Carlos Gardel,卡洛斯·加尔德尔,カルロス・ガルデル,كارلوس غارديل
artist_Russian Folk Music,Russian Folk Music,俄罗斯民谣音乐,ロシア民謡,الموسيقى الشعبية الروسية
artist_Tchaikovsky,Tchaikovsky,柴可夫斯基,チャイコフスキー,تشايكوفسكي
artist_Saint-Seans,Saint-Seans,圣桑,サン＝サーンス,سان سانس
artist_Bach,Bach,巴赫,バッハ,باخ
artist_Johann Strauss II,Johann Strauss II,约翰·施特劳斯二世,ヨハン・シュトラウス2世,يوهان شتراوس الابن
artist_Jacques Offenbach,Jacques Offenbach,雅克·奥芬巴赫,ジャック・オッフェンバック,جاك أوفنباخ
artist_Mozart,Mozart,莫扎特,モーツァルト,موزارت
artist_Congfei Wei,Congfei Wei,魏聪菲,魏聰菲,كونجفيل وي
game_instructions,Tap the black tiles in order. Don't touch any white space!,按顺序点击黑色方块。不要触碰任何白色区域！,黒いタイルを順番にタップしてください。白い部分には触れないでください！,إضغط على البلاطات السوداء باللتتالي . لا تضغط على أي مسافات بيضاء! 
label_pt2_json,Piano Tiles 2 JSON,钢琴瓷砖2 JSON,ピアノタイル2 JSON,JSON خاص ببلاط البيانو 2
label_music_entry,Music Entry,音乐条目,音楽エントリー,مشاركة موسيقية
placeholder_load_pt2,Load a PT2 JSON file first,请先加载PT2 JSON文件,まずPT2 JSONファイルを読み込んでください,قم بتحميل ملف JSON خاص بـPT2
btn_load_horseman,Load Horseman.json,加载Horseman.json,Horseman.jsonを読み込む,تحميل Horseman.json
btn_clear_song,Remove Song,清除歌曲,曲をクリア,أزل الأغنية
status_no_pt2,No PT2 JSON file loaded.,未加载PT2文件,PT2ファイルが読み込まれていません,لم يتم تحميل اي ملف JSON خاص بـPT2
label_best,Best:,最佳:,ベスト:,الأفضل:
label_tps_unit,TPS,TPS,TPS,TPS
btn_song_library,Song Library,歌曲库,曲ライブラリ,مكتبة الأغاني
title_settings,Settings,设置,設定,الإعدادات
subtitle_preferences,Preferences,偏好设置,設定,التفضيلات
btn_save,Save,保存,保存,حفظ
section_keybinds,Keybinds,按键绑定,キーバインド,إختصارات لوحة المفاتيح
label_col_1,Column Left,第1列,列1,العامود الأيسر
label_col_2,Column Middle Left,第2列,列2,العامود الأيسر في المنتصف
label_col_3,Column Middle Right,第3列,列3,العامود الأيمن في المنتصف
label_col_4,Column Right,第4列,列4,العامود الأيمن
section_customize_speed,Customize Speed,自定义速度,速度カスタマイズ,تخصيص السرعة
section_language,Languages,语言,言語,اللغات
label_profile,Profile,个人资料,プロフィール,ملف التعريف
label_manage_profile,Manage Local Profile,管理本地档案,ローカルプロフィール管理,إدارة ملف التعريف المحلي
label_local_profile,Local profile,本地档案,ローカルプロフィール,ملف تعريف محلي
msg_manage_profile_desc,All progress is stored locally on this device. Choose what to reset.,所有进度都保存在本设备上。选择要重置的内容。,すべての進捗はこの端末に保存されます。リセットする項目を選択してください。,كل التقدم مخزن محلياّ على جهازك. إختر ما الذي تريد إعادة ضبطه
btn_reset_score,Reset Score Data,重置分数数据,スコアデータをリセット,إعادة ضبط بيانات النقاط
btn_reset_score_desc,Stars, crowns, high scores,نجوم
btn_reset_ppoints,Reset P-Points,重置P点数,ポイントをリセット,أعد ضبط نقاط P
btn_reset_ppoints_desc,Spent P-Points balance,已使用P点数余额,使用済みPポイント残高,رصيد نقاط P المُستخدَمة
btn_reset_classification,Reset Classification,重置段位,段位をリセット,إعادة ضبط التصنيف
btn_reset_classification_desc,classification,段位排名,段位ランキング,التصنيف
btn_reset_all,Reset All Data,重置所有数据,すべてのデータをリセット,إعادة ضبط جميع البيانات
btn_reset_all_desc,Everything except your settings,除设置外的所有数据,設定以外のすべて,كل شيء ما عدا إعداداتك
msg_reset_done_score,Score data reset.,分数数据已重置。,スコアデータをリセットしました。,إعادة ضبط بيانات النقاط.
msg_reset_done_ppoints,P-Points reset.,P点数已重置。,ポイントをリセットしました。,إعادة ضبط نقاط P
msg_reset_done_class,Classification reset.,段位已重置。,段位をリセットしました。,إعادة ضبط التصنيف
msg_reset_done_all,All data reset.,所有数据已重置。,すべてのデータをリセットしました。,إعادة ضبط كل البيانات
confirm_reset_score,Reset all score data? This cannot be undone.,重置所有分数数据？此操作无法撤销。,すべてのスコアデータをリセットしますか？元に戻せません。,إعادة ضبط بيانات المقاط؟ لا يمكن التراجع
